,R0,minimum_of_peak
0,0.5,0.06835173902394197
1,0.6,0.06431449467180066
2,0.7,0.06045844467181871
3,0.7999999999999999,0.056386705899949076
4,0.8999999999999999,0.049502062689680146
5,0.9999999999999999,0.04160981283351896
6,1.0999999999999999,0.03041684458778534
7,1.1999999999999997,0.02214826662792476
8,1.2999999999999998,0.02972018639990856
9,1.4,0.04609159988742282
10,1.4999999999999998,0.0636902392922858
11,1.5999999999999996,0.08187300281618845
12,1.6999999999999997,0.10021890228800229
13,1.7999999999999998,0.11845211737276547
14,1.8999999999999997,0.13639296673749032
15,1.9999999999999996,0.1539265468319351
